     1  1  1  :  6, 18, 38, 66, 102, 146, 198, 258, 326, 402, 486, 578, 678, 786, 902
     1  1  2  :  10, 26, 50, 82, 122, 170, 226, 290, 362, 442, 530, 626, 730, 842, 962
     1  1  3  :  14, 34, 62, 98, 142, 194, 254, 322, 398, 482, 574, 674, 782, 898, 1022
     1  1  4  :  18, 42, 74, 114, 162, 218, 282, 354, 434, 522, 618, 722, 834, 954, 1082
     1  1  5  :  22, 50, 86, 130, 182, 242, 310, 386, 470, 562, 662, 770, 886, 1010, 1142
     1  1  6  :  26, 58, 98, 146, 202, 266, 338, 418, 506, 602, 706, 818, 938, 1066, 1202
     1  1  7  :  30, 66, 110, 162, 222, 290, 366, 450, 542, 642, 750, 866, 990, 1122, 1262
     1  1  8  :  34, 74, 122, 178, 242, 314, 394, 482, 578, 682, 794, 914, 1042, 1178, 1322
     1  1  9  :  38, 82, 134, 194, 262, 338, 422, 514, 614, 722, 838, 962, 1094, 1234, 1382
     1  1  10  :  42, 90, 146, 210, 282, 362, 450, 546, 650, 762, 882, 1010, 1146, 1290, 1442
     1  1  11  :  46, 98, 158, 226, 302, 386, 478, 578, 686, 802, 926, 1058, 1198, 1346, 1502
     1  1  12  :  50, 106, 170, 242, 322, 410, 506, 610, 722, 842, 970, 1106, 1250, 1402, 1562
     1  2  1  :  10, 26, 50, 82, 122, 170, 226, 290, 362, 442, 530, 626, 730, 842, 962
     1  2  2  :  16, 36, 64, 100, 144, 196, 256, 324, 400, 484, 576, 676, 784, 900, 1024
     1  2  3  :  22, 46, 78, 118, 166, 222, 286, 358, 438, 526, 622, 726, 838, 958, 1086
     1  2  4  :  28, 56, 92, 136, 188, 248, 316, 392, 476, 568, 668, 776, 892, 1016, 1148
     1  2  5  :  34, 66, 106, 154, 210, 274, 346, 426, 514, 610, 714, 826, 946, 1074, 1210
     1  2  6  :  40, 76, 120, 172, 232, 300, 376, 460, 552, 652, 760, 876, 1000, 1132, 1272
     1  2  7  :  46, 86, 134, 190, 254, 326, 406, 494, 590, 694, 806, 926, 1054, 1190, 1334
     1  2  8  :  52, 96, 148, 208, 276, 352, 436, 528, 628, 736, 852, 976, 1108, 1248, 1396
     1  2  9  :  58, 106, 162, 226, 298, 378, 466, 562, 666, 778, 898, 1026, 1162, 1306, 1458
     1  2  10  :  64, 116, 176, 244, 320, 404, 496, 596, 704, 820, 944, 1076, 1216, 1364, 1520
     1  2  11  :  70, 126, 190, 262, 342, 430, 526, 630, 742, 862, 990, 1126, 1270, 1422, 1582
     1  2  12  :  76, 136, 204, 280, 364, 456, 556, 664, 780, 904, 1036, 1176, 1324, 1480, 1644
     1  3  1  :  14, 34, 62, 98, 142, 194, 254, 322, 398, 482, 574, 674, 782, 898, 1022
     1  3  2  :  22, 46, 78, 118, 166, 222, 286, 358, 438, 526, 622, 726, 838, 958, 1086
     1  3  3  :  30, 58, 94, 138, 190, 250, 318, 394, 478, 570, 670, 778, 894, 1018, 1150
     1  3  4  :  38, 70, 110, 158, 214, 278, 350, 430, 518, 614, 718, 830, 950, 1078, 1214
     1  3  5  :  46, 82, 126, 178, 238, 306, 382, 466, 558, 658, 766, 882, 1006, 1138, 1278
     1  3  6  :  54, 94, 142, 198, 262, 334, 414, 502, 598, 702, 814, 934, 1062, 1198, 1342
     1  3  7  :  62, 106, 158, 218, 286, 362, 446, 538, 638, 746, 862, 986, 1118, 1258, 1406
     1  3  8  :  70, 118, 174, 238, 310, 390, 478, 574, 678, 790, 910, 1038, 1174, 1318, 1470
     1  3  9  :  78, 130, 190, 258, 334, 418, 510, 610, 718, 834, 958, 1090, 1230, 1378, 1534
     1  3  10  :  86, 142, 206, 278, 358, 446, 542, 646, 758, 878, 1006, 1142, 1286, 1438, 1598
     1  3  11  :  94, 154, 222, 298, 382, 474, 574, 682, 798, 922, 1054, 1194, 1342, 1498, 1662
     1  3  12  :  102, 166, 238, 318, 406, 502, 606, 718, 838, 966, 1102, 1246, 1398, 1558, 1726
     1  4  1  :  18, 42, 74, 114, 162, 218, 282, 354, 434, 522, 618, 722, 834, 954, 1082
